
Iteration | Build & Enclave Boot Time (seconds) | Enclave Boot Time (seconds)
1 | 1.916565516 | .517689074
2 | .926234493 | .538551994
3 | .889929509 | .542194232
4 | .893917651 | .518049077
5 | .926138292 | .558494905
6 | .962374976 | .513959534
7 | .938917182 | .522691558
8 | .903086602 | .514797174
9 | .921485497 | .538280423
10 | .898733655 | .549594344
Average | 1.01773833730000000000 | .53143023150000000000
Boot time and build time results for running 10 HelloWorld quoting binaries in Gramine enclave..

Iteration | Build & Enclave Boot Time (seconds) | Enclave Boot Time (seconds)

1 | .896586766 | .542212901
2 | .998045858 | .535584936
3 | .920599201 | .543365721
4 | .949648571 | .505350766
5 | .946693139 | .545408599
6 | .894184171 | .513556755
7 | .910014742 | .518414307
8 | .890087626 | .541960362
9 | .946413373 | .562218232
10 | .909421320 | .514325310

Average | .92616947670000000000 | .53223978890000000000

Boot time and build time results for running 10 HelloWorld quoting binaries in Gramine enclave..
Iteration | Build & Enclave Boot Time (seconds) | Enclave Boot Time (seconds)

1 | .913732542 | .526210653
2 | .906079580 | .527364505
3 | .916404341 | .550026647
4 | .921755098 | .510736129
5 | .953999340 | .510665528
6 | .922724108 | .508646407
7 | .947686373 | .540922850
8 | .901417779 | .526615696
9 | .890110658 | .522344450
10 | .921677893 | .518024004

Average | .91955877120000000000 | .52415568690000000000
